"Type_ID","TypeName"
"1","art_gallery"
"2","bakery"
"3","bar"
"4","book_store"
"5","cafe"
"6","campground"
"7","clothing_store"
"8","establishment"
"9","food"
"10","gym"
"11","health"
"12","home_goods_store"
"13","lodging"
"14","meal_takeaway"
"15","moving_company"
"16","park"
"17","place_of_worship"
"18","point_of_interest"
"19","real_estate_agency"
"20","restaurant"
"21","school"
"22","spa"
"23","storage"
"24","store"
"25","tourist_attraction"
"26","travel_agency"
