"Restaurant_ID","TotalRating","DinnerRating","LunchRating","ReviewNum","Rating_Category"
"104","3.5","3.07","3.52","37","3~3.9 星餐廳"
"105","3.6666666666666665","3.0","","10","3~3.9 星餐廳"
"106","3.566666666666667","3.3","","11","3~3.9 星餐廳"
"107","3.333333333333333","3.08","","17","3~3.9 星餐廳"
"108","3.566666666666667","3.04","","3","3~3.9 星餐廳"
"109","3.2666666666666666","3.18","3.05","14","3~3.9 星餐廳"
"110","3.466666666666667","3.04","3.02","18","3~3.9 星餐廳"
"111","3.6666666666666665","3.02","","1","3~3.9 星餐廳"
"112","3.5","3.05","","3","3~3.9 星餐廳"
"113","4.1","3.56","3.06","24","4~5 星餐廳"
"114","3.5","3.0","","8","3~3.9 星餐廳"
"115","3.7","3.09","","25","3~3.9 星餐廳"
"116","3.333333333333333","3.25","3.09","26","3~3.9 星餐廳"
"117","3.2333333333333334","3.12","","10","3~3.9 星餐廳"
"118","4.233333333333333","3.36","3.57","13","4~5 星餐廳"
"119","3.533333333333333","3.04","3.06","17","3~3.9 星餐廳"
"120","4.433333333333334","3.51","","83","4~5 星餐廳"
"121","4.1","3.27","3.56","14","4~5 星餐廳"
"122","3.6666666666666665","3.04","3.06","8","3~3.9 星餐廳"
"123","3.6","3.06","3.0","4","3~3.9 星餐廳"
"124","4.433333333333334","3.68","3.75","44","4~5 星餐廳"
"125","3.2333333333333334","3.2","3.06","23","3~3.9 星餐廳"
"126","3.633333333333333","3.02","","4","3~3.9 星餐廳"
"127","3.7","3.04","","8","3~3.9 星餐廳"
"128","3.633333333333333","3.13","3.09","33","3~3.9 星餐廳"
"129","3.6666666666666665","3.28","","38","3~3.9 星餐廳"
"130","3.533333333333333","3.14","3.15","37","3~3.9 星餐廳"
"131","3.633333333333333","3.07","","18","3~3.9 星餐廳"
"132","3.4","3.09","","5","3~3.9 星餐廳"
"133","3.466666666666667","3.15","3.06","6","3~3.9 星餐廳"
"134","3.4","3.06","","6","3~3.9 星餐廳"
"135","3.3666666666666667","3.02","","1","3~3.9 星餐廳"
"136","4.433333333333334","3.53","","19","4~5 星餐廳"
"137","3.633333333333333","3.0","","2","3~3.9 星餐廳"
"138","4.266666666666667","3.39","3.23","17","4~5 星餐廳"
"139","3.566666666666667","3.08","","14","3~3.9 星餐廳"
"140","3.633333333333333","3.2","","15","3~3.9 星餐廳"
"141","3.566666666666667","3.38","","14","3~3.9 星餐廳"
"142","4.1","3.46","3.08","39","4~5 星餐廳"
"143","3.566666666666667","3.0","","4","3~3.9 星餐廳"
"144","4.033333333333333","3.52","","24","4~5 星餐廳"
"145","3.466666666666667","3.06","","3","3~3.9 星餐廳"
"146","3.7","3.15","","7","3~3.9 星餐廳"
"147","3.633333333333333","3.06","","7","3~3.9 星餐廳"
"148","3.6","3.06","3.3","45","3~3.9 星餐廳"
"149","3.466666666666667","3.04","3.03","2","3~3.9 星餐廳"
"150","4.133333333333334","3.52","","8","4~5 星餐廳"
"151","3.5","3.02","3.0","18","3~3.9 星餐廳"
"152","3.8333333333333335","3.47","","20","3~3.9 星餐廳"
"153","4.233333333333333","3.54","3.51","67","4~5 星餐廳"
"154","3.6666666666666665","3.09","3.14","41","3~3.9 星餐廳"
"155","3.3","3.05","","3","3~3.9 星餐廳"
"156","3.333333333333333","3.1","","27","3~3.9 星餐廳"
"157","3.8","3.04","","1","3~3.9 星餐廳"
"158","4.2","3.51","3.54","42","4~5 星餐廳"
"159","3.7","3.06","","3","3~3.9 星餐廳"
"160","4.2","3.52","","8","4~5 星餐廳"
"161","3.533333333333333","3.06","3.18","11","3~3.9 星餐廳"
"162","3.566666666666667","3.06","","14","3~3.9 星餐廳"
"163","3.8666666666666663","3.42","","30","3~3.9 星餐廳"
"164","3.433333333333333","3.0","3.12","21","3~3.9 星餐廳"
"165","3.533333333333333","3.07","3.0","22","3~3.9 星餐廳"
"166","3.566666666666667","3.09","","5","3~3.9 星餐廳"
"167","3.6","3.09","3.04","12","3~3.9 星餐廳"
"168","3.566666666666667","3.04","","14","3~3.9 星餐廳"
"169","3.333333333333333","3.06","","9","3~3.9 星餐廳"
"170","3.333333333333333","3.05","3.12","19","3~3.9 星餐廳"
"171","3.433333333333333","3.05","","10","3~3.9 星餐廳"
"172","4.166666666666667","3.51","3.52","52","4~5 星餐廳"
"173","3.333333333333333","3.22","","4","3~3.9 星餐廳"
"174","3.4","3.0","3.04","2","3~3.9 星餐廳"
"175","3.533333333333333","3.0","3.08","21","3~3.9 星餐廳"
"176","3.566666666666667","3.09","3.06","11","3~3.9 星餐廳"
"177","3.7666666666666666","3.22","","29","3~3.9 星餐廳"
"178","3.566666666666667","3.08","","10","3~3.9 星餐廳"
"179","3.633333333333333","3.09","3.21","26","3~3.9 星餐廳"
"180","3.466666666666667","3.05","","4","3~3.9 星餐廳"
"181","3.733333333333333","3.09","3.14","47","3~3.9 星餐廳"
"182","3.6666666666666665","3.05","","2","3~3.9 星餐廳"
"183","3.4","3.06","","15","3~3.9 星餐廳"
"184","3.533333333333333","3.0","","8","3~3.9 星餐廳"
"185","4.0","3.61","3.51","8","4~5 星餐廳"
"186","3.5","3.0","3.01","14","3~3.9 星餐廳"
"187","3.466666666666667","3.05","","8","3~3.9 星餐廳"
"188","3.5","3.01","","11","3~3.9 星餐廳"
"189","3.533333333333333","3.03","","2","3~3.9 星餐廳"
"190","3.4","3.09","3.0","27","3~3.9 星餐廳"
"191","3.5","3.06","","36","3~3.9 星餐廳"
"192","3.6666666666666665","3.08","3.21","29","3~3.9 星餐廳"
"193","3.533333333333333","3.06","","2","3~3.9 星餐廳"
"194","4.133333333333334","3.58","3.06","24","4~5 星餐廳"
"195","3.733333333333333","3.06","3.0","19","3~3.9 星餐廳"
"196","3.4","3.08","","34","3~3.9 星餐廳"
"197","3.8666666666666663","3.54","3.51","44","3~3.9 星餐廳"
"198","3.7666666666666666","3.06","","1","3~3.9 星餐廳"
"199","4.033333333333333","3.51","","5","4~5 星餐廳"
"200","3.3666666666666667","3.04","","3","3~3.9 星餐廳"
"201","3.533333333333333","3.0","","2","3~3.9 星餐廳"
"202","3.6","3.06","","11","3~3.9 星餐廳"
"203","4.133333333333334","3.51","3.1","49","4~5 星餐廳"
"204","3.633333333333333","3.0","3.06","11","3~3.9 星餐廳"
"205","3.4","3.0","","10","3~3.9 星餐廳"
"206","3.566666666666667","3.11","3.09","17","3~3.9 星餐廳"
"207","3.6","3.04","3.05","7","3~3.9 星餐廳"
"208","3.6","3.02","3.02","10","3~3.9 星餐廳"
"209","4.266666666666667","3.52","3.43","36","4~5 星餐廳"
"210","3.433333333333333","3.35","","13","3~3.9 星餐廳"
"211","4.2","3.48","","20","4~5 星餐廳"
"212","3.6","3.05","3.13","16","3~3.9 星餐廳"
"213","3.633333333333333","3.15","3.05","16","3~3.9 星餐廳"
"214","4.133333333333334","3.59","3.57","51","4~5 星餐廳"
"215","3.566666666666667","3.04","","2","3~3.9 星餐廳"
"216","3.566666666666667","3.0","","10","3~3.9 星餐廳"
"217","3.8","3.12","","20","3~3.9 星餐廳"
"218","3.5","3.01","","8","3~3.9 星餐廳"
"219","4.233333333333333","3.52","3.03","37","4~5 星餐廳"
"220","3.2666666666666666","3.18","","2","3~3.9 星餐廳"
"221","3.633333333333333","3.05","","10","3~3.9 星餐廳"
"222","3.8333333333333335","3.06","","5","3~3.9 星餐廳"
"223","3.433333333333333","3.0","3.03","6","3~3.9 星餐廳"
"224","3.6666666666666665","3.09","","11","3~3.9 星餐廳"
"225","3.8666666666666663","3.06","","11","3~3.9 星餐廳"
"226","3.533333333333333","3.05","","5","3~3.9 星餐廳"
"227","3.333333333333333","3.03","","3","3~3.9 星餐廳"
"228","3.466666666666667","3.0","","1","3~3.9 星餐廳"
"229","3.566666666666667","3.04","","3","3~3.9 星餐廳"
"230","3.633333333333333","3.35","","6","3~3.9 星餐廳"
"231","3.3","3.0","","3","3~3.9 星餐廳"
"232","3.6","3.1","3.07","29","3~3.9 星餐廳"
"233","3.533333333333333","3.13","3.06","35","3~3.9 星餐廳"
"234","3.5","3.05","3.06","4","3~3.9 星餐廳"
"235","3.5","3.04","3.04","5","3~3.9 星餐廳"
"236","3.3666666666666667","3.0","","6","3~3.9 星餐廳"
"237","3.466666666666667","3.0","3.06","31","3~3.9 星餐廳"
"238","3.4","3.0","","8","3~3.9 星餐廳"
"239","4.166666666666667","3.51","3.06","19","4~5 星餐廳"
"240","3.8666666666666663","3.15","","11","3~3.9 星餐廳"
"241","3.633333333333333","3.09","3.07","50","3~3.9 星餐廳"
"242","3.933333333333333","3.09","3.52","9","3~3.9 星餐廳"
"243","3.466666666666667","3.09","3.07","22","3~3.9 星餐廳"
"244","3.6666666666666665","3.0","","4","3~3.9 星餐廳"
"245","3.8333333333333335","3.03","3.0","2","3~3.9 星餐廳"
"246","3.533333333333333","3.0","","21","3~3.9 星餐廳"
"247","3.566666666666667","3.03","3.0","12","3~3.9 星餐廳"
"248","3.9","3.0","","11","3~3.9 星餐廳"
"249","3.7666666666666666","3.06","","4","3~3.9 星餐廳"
"250","4.2","3.45","","12","4~5 星餐廳"
"251","3.7666666666666666","3.05","","11","3~3.9 星餐廳"
"252","3.8","3.0","","6","3~3.9 星餐廳"
"253","3.533333333333333","3.09","3.08","7","3~3.9 星餐廳"
"254","3.466666666666667","3.0","","5","3~3.9 星餐廳"
"255","4.266666666666667","3.54","3.48","29","4~5 星餐廳"
"256","3.466666666666667","3.28","3.0","9","3~3.9 星餐廳"
"257","3.6666666666666665","3.12","3.43","20","3~3.9 星餐廳"
"258","3.566666666666667","3.0","","7","3~3.9 星餐廳"
"259","3.633333333333333","3.16","3.27","15","3~3.9 星餐廳"
"260","3.6666666666666665","3.05","3.04","5","3~3.9 星餐廳"
"261","4.333333333333333","3.05","3.46","34","4~5 星餐廳"
"262","3.433333333333333","3.06","","5","3~3.9 星餐廳"
"263","3.433333333333333","3.05","","3","3~3.9 星餐廳"
"264","4.3","3.42","","8","4~5 星餐廳"
"265","3.533333333333333","3.01","","6","3~3.9 星餐廳"
"266","3.7","3.21","","16","3~3.9 星餐廳"
"267","3.566666666666667","3.16","","9","3~3.9 星餐廳"
"268","3.2333333333333334","3.1","","16","3~3.9 星餐廳"
"269","4.133333333333334","3.5","3.5","69","4~5 星餐廳"
"270","3.3666666666666667","3.07","3.07","19","3~3.9 星餐廳"
"271","3.433333333333333","3.02","","5","3~3.9 星餐廳"
"272","3.566666666666667","3.02","3.02","17","3~3.9 星餐廳"
"273","3.566666666666667","3.06","","2","3~3.9 星餐廳"
"274","3.6666666666666665","3.16","3.08","15","3~3.9 星餐廳"
"275","3.7","3.14","3.07","17","3~3.9 星餐廳"
"276","3.566666666666667","3.29","","17","3~3.9 星餐廳"
"277","3.733333333333333","3.21","3.02","14","3~3.9 星餐廳"
"278","3.4","3.08","3.13","23","3~3.9 星餐廳"
"279","3.3","3.02","","11","3~3.9 星餐廳"
"280","3.6","3.38","","11","3~3.9 星餐廳"
