ID,Place_ID,Name,Rating,UserRatingsTotal,Type,PriceLevel,Lat,Lng,Address
29,ChIJq6raGX0IAWARydMTs2A7TfA,Remains of the Kan-in-no-miya Residence,4.4,331,Museum,,35.0180806,135.7602477,"Japan, 〒602-0881 Kyoto, Kamigyo Ward, Kyotogyoen, 3 国民公園協会京都御苑"
30,ChIJq9zeJaMJAWARdZn9NuuvUxo,Kyoto Tower Building,4.2,5234,Tourist Attraction,,34.987658,135.7594279,"721-1 Higashishiokojicho, Shimogyo Ward, Kyoto, 600-8216, Japan"
31,ChIJZeR4B-gIAWARqmVdKo1OZBg,Tomb of Akechi Mitsuhide,4.0,304,Tourist Attraction,,35.0082539,135.7805929,"474-23 Umemiyacho, Higashiyama Ward, Kyoto, 605-0061, Japan"
32,ChIJD-sEdQAJAWAR7bgyLhBgP7U,Kyoto Downtown Intersection (Shijo-Kawaramachi),4.6,27,Tourist Attraction,,35.0037958,135.7693147,"Shijo-dori, Shincho, Shimogyo Ward, Kyoto, 600-8001, Japan"
33,ChIJIWCiKGUIAWARJb-YTLBVw3k,Shishin-den (Ceremonial Palace),4.6,107,Tourist Attraction,,35.0241795,135.7621473,"Japan, 〒602-0881 Kyoto, Kamigyo Ward, Kyotogyoen, 3 京都御所"
34,ChIJL5LSDi8JAWARERju7ylzb5w,Mount Daimonji,4.6,171,Park,,35.0196263,135.8116922,"Japan, 〒606-8442 Kyoto, Sakyo Ward, Shishigatani Daikokudanicho, 大文字山"
35,ChIJ80VYfAAJAWARjJcJzs8clu8,Site of Former Honnō-ji Temple,4.0,66,Point Of Interest,,35.005896,135.7536883,"Japan, 〒604-8237 Kyoto, Nakagyo Ward, Yamadacho, 513"
36,ChIJ-3VidwAJAWARTblqPEwW6To,Site of Sakamoto Ryoma and Nakaoka Shintaro’s Assassination (Site of Omi-ya Inn),4.5,45,Point Of Interest,,35.0056162,135.7690735,"Japan, 〒604-8027 Kyoto, Nakagyo Ward, Shioyacho, 330"
37,ChIJXZeF2jipAWARNbF8pJDRjFc,Kyōko-chi Pond,4.8,56,Park,,35.0390602,135.7282881,"Japan, 〒603-8361 Kyoto, Kita Ward, Kinkakujicho, 1 枯山水"
38,ChIJuWv2U8MIAWARZlIgvRI4cE0,Gion Weeping Cherry Tree,4.5,259,Park,,35.0036166,135.7803304,"623 Gionmachi Kitagawa, Higashiyama Ward, Kyoto, 605-0073, Japan"
39,ChIJp7NmTHcHAWAR27Zp0ZIwLgM,Ninomaru Garden,4.5,69,Park,,35.0134956,135.7492524,"Japan, 〒604-8301 Kyoto, Nakagyo Ward, Nijojocho, 541"
40,ChIJq6pWsmIIAWARqY-2rSecNHA,Shūsui-tei Teahouse,4.4,160,Park,,35.0177595,135.7617429,"3 Kyotogyoen, Kamigyo Ward, Kyoto, 602-0881, Japan"
41,ChIJaQApBsQIAWAR6WFyzy-h3ZQ,Mausoleum of Emperor Sutoku,4.2,86,Tourist Attraction,,35.0013895,135.7763796,"Gionmachi Minamigawa, Higashiyama Ward, Kyoto, 605-0074, Japan"
42,ChIJJ2Y1g5IIAWARKli7pvsIYaA,Former site of Choshu clan office,4.0,27,Tourist Attraction,,35.0114328,135.769273,"Ichinofunairicho, Nakagyo Ward, Kyoto, 604-0924, Japan"
43,ChIJ5TdqSwAJAWAR5wzwAyX2J9c,Site of Murasaki Shikibu’s Residence,4.6,16,Point Of Interest,,35.0244263,135.7676693,"680-1 Somedonocho, Kamigyo Ward, Kyoto, 602-0844, Japan"
44,ChIJQzAtNq0JAWARYiGheoKc8yg,"""Sawai"" Kyoto Traditional Tea House & Machiya Tour - Gion Heritage Experience 京都祇園茶屋見学 ""澤食""",5.0,1,Point Of Interest,,34.9993217,135.7705235,"4 Chome-322-1 Miyagawasuji, Higashiyama Ward, Kyoto, 605-0801, Japan"
45,ChIJK8qdz5QIAWARv0A52qZFVX8,土佐藩邸跡,4.2,56,Tourist Attraction,,35.0061784,135.7705121,"Japan, 〒604-8016 Kyoto, Nakagyo Ward, 木屋町通"
46,ChIJfxONxYUIAWARcdZzyOE0pik,"Karasuma Oike Site, Heian-kyo Site",4.1,18,Tourist Attraction,,35.0109844,135.7599748,"Nakahoricho, Nakagyo Ward, Kyoto, 604-0844, Japan"
47,ChIJTwx4M9sIAWARAoGFgxQPPBk,Site of Taigado,4.3,6,Tourist Attraction,,35.0021073,135.7807803,"Washiocho, Higashiyama Ward, Kyoto, 605-0072, Japan"
48,ChIJwX2QIBcJAWARBalRxFUCtFM,Site of Kyoto New Castle,3.7,15,Point Of Interest,,35.0214582,135.7643468,"Japan, 〒602-0881 Kyoto, Kamigyo Ward, Higashisakuracho, ５５"
49,ChIJp2tfbZIIAWARYlt26AYLE5Y,本能寺 大寶殿宝物館,4.2,126,Museum,,35.0103344,135.7675848,"Japan, 〒604-8091 Kyoto, Nakagyo Ward, Shimohonnojimaecho, 522"
50,ChIJnTMAQZcHAWARE9wQeAM_HzA,Higashi Ote-mon (Grand East Gate),4.4,94,Point Of Interest,,35.0128701,135.7510565,"Nijojocho, Nakagyo Ward, Kyoto, 604-8301, Japan"
51,ChIJre6zF5MIAWAR3KqwVcx7mcQ,Ikedaya Incident Site,3.8,280,Point Of Interest,,35.0089377,135.7698631,"78 Nakajimacho, Nakagyo Ward, Kyoto, 604-8004, Japan"
52,ChIJf7gR9XsIAWARyENKBKGTg6k,Site of Former Nijō-jō Castle,3.6,40,Tourist Attraction,,35.0198676,135.7579229,"Japan, 〒602-8029 Kyoto, Kamigyo Ward, Bueijincho, 221 室町館"
53,ChIJ_7dbXIAIAWAR1Rp-HnnuGro,Site of Myokenji Castle,3.7,21,Tourist Attraction,,35.0122648,135.7540467,"376 Furushirocho, Nakagyo Ward, Kyoto, 604-0045, Japan"
54,ChIJCwAzNJgJAWARe5A-oh2ngWU,Benkei Stone,4.4,41,Point Of Interest,,35.0086956,135.765893,"Japan, 〒604-8082 Kyoto, Nakagyo Ward, Benkeiishicho, ３９"
55,ChIJ7wKLka4IAWARCByidG5EGrY,Kyoto Station,4.3,8513,Transit Station,,34.985849,135.7587667,"Higashishiokoji Kamadonocho, Shimogyo Ward, Kyoto, Japan"
56,ChIJR1BJjGMIAWAR_Qd4M9OY1i8,Kyoto Omiya Imperial Palace,4.1,75,Point Of Interest,,35.0225854,135.7649269,"Kamigyo Ward, Kyoto, 602-0881, Japan"
57,ChIJKysufIsJAWARYRdjhvB2lWA,Takase River,4.8,65,Point Of Interest,,35.0048654,135.7704883,"Shimogyo Ward, Kyoto, 600-8001, Japan"
58,ChIJEYTztG4HAWARpm4kxuFA4ss,Hebizuka Kofun Ancient Tomb,4.0,170,Tourist Attraction,,35.0119133,135.7001677,"Uzumasa Omokagecho, Ukyo Ward, Kyoto, 616-8153, Japan"
59,ChIJSyMXjmIIAWAR2r_Zx989Pp0,Site of Takatsukasa Residence,4.1,10,Tourist Attraction,,35.0186174,135.7633976,"Kyotogyoen, Kamigyo Ward, Kyoto, 602-0881, Japan"
60,ChIJuSE1rXgIAWAREk3YjgeYsCs,Neesima's Residence,4.0,46,University,,35.0186851,135.767672,"Matsukagecho, Kamigyo Ward, Kyoto, 602-0867, Japan"
61,ChIJk54PuAGqAWARwEgz_9o-nM0,Tenryu-ji,4.4,15640,Place Of Worship,,35.0158379,135.6737654,"Japan, 〒616-8385 Kyoto, Ukyo Ward, Sagatenryuji Susukinobabacho, ６８"
62,ChIJo-IUU6cIAWARlNzNlaos5PQ,Nishi Hongan-ji Temple,4.4,5601,Place Of Worship,,34.99177700000001,135.7516549,"Japan, 〒600-8501 Kyoto, Shimogyo Ward, Honganji Monzencho"
