Restaurant_ID,Name,JapaneseName,Station,FirstCategory,SecondCategory,TotalRating,Lat,Long,DinnerPrice,LunchPrice,Price_Category
33,teppandainingukyoushikian  ,鉄板ダイニング 京四季庵,Gion Shijo,Teppanyaki,Steak,3.633333333333333,35.0050871864524,135.771166409986,￥5000～￥5999,,高價位
34,Yasuma  ,靖馬,Kawaramachi,Izakaya (Tavern),Kyoto Cuisine,3.533333333333333,35.004371682583,135.769744061055,￥3000～￥3999,,中價位
35,In the Soup.  ,in the Soup.,Gion Shijo,Bar,Bistro,3.533333333333333,35.004126761561,135.772765765823,￥3000～￥3999,￥1000～￥1999,中價位
36,Gionyakinikukokoro  ,祇園焼肉 志,Gion Shijo,Yakiniku (BBQ Beef),Horumon (BBQ Offel),3.533333333333333,35.0056702531591,135.775375200267,￥5000～￥5999,,高價位
37,daininguba-daburyu-  ,Dining Bar W,Gion Shijo,Kappo (Traditional Japanese),Steak,3.3,35.0051366514701,135.772647118069,￥4000～￥4999,,中價位
38,Kyoutodaina  ,京都ダイナー,Karasuma,Bistro,Bar,4.066666666666666,35.0053067461152,135.763880776774,￥3000～￥3999,￥2000～￥2999,中價位
39,Zasoudouhigashiyamakyouto  ,THE SODOH HIGASHIYAMA KYOTO,Gion Shijo,Italian,Pasta,4.1,34.9988963304625,135.779667933418,￥6000～￥7999,￥2000～￥2999,中價位
40,Gokyou  ,牛京 東九条店,Jujo,Yakiniku (BBQ Beef),Horumon (BBQ Offel),3.333333333333333,34.9754043250388,135.759545963938,￥3000～￥3999,,中價位
40,Gokyou  ,牛京 東九条店,Jujo,Yakiniku (BBQ Beef),Horumon (BBQ Offel),3.333333333333333,34.9754043250388,135.759545963938,￥3000～￥3999,,中價位
41,Ichifuji  ,一知富士,Shijo,Izakaya (Tavern),Kappo (Traditional Japanese),3.4,35.0013745798691,135.758233210577,￥4000～￥4999,,中價位
