"Hotel_ID","HotelName","Address","Rating","UserRatingsTotal","Lat","Long","Place_ID"
"41","京物語","京都市南区西九条大国町５２番地１０","","","34.9781203","135.7432426","ChIJ6_c6me4HAWARjI5tWazGSQw"
"42","京まいまい〜KYO MAIMAI〜","京都市西九条豊田町３８−９","4.0","2.0","34.9762852","135.7442778","ChIJudZ2JJAHAWAROwef483dF40"
"43","本町ハウス ペンギンハウス","京都市下京区七条御所ノ内本町８３","","","34.9854599","135.7316738","ChIJy1wYgmoGAWARPVjSctyjuiM"
"44","kyorakuya","京都市南区唐橋高田町３２−７","","","34.9804002","135.7419872","ChIJszb8OAAHAWARSIHtgcThfvA"
"45","江房Hostel","京都市南区唐橋高田町３０−１２","4.8","39.0","34.9807978","135.7417348","ChIJNbiT5g8GAWARhP9EtSyFHbU"
"46","Pure home 1","京都市南区唐橋井園町５２−８","4.5","6.0","34.9820777","135.7403743","ChIJqa-sdY4HAWARgwGl-GswP-k"
"47","桃李さくら庵 梅小路 ゲストハウス","京都市下京区梅小路東中町５９ ５９番地","3.3","3.0","34.98441","135.7367289","ChIJTS65FBQGAWAR_OG3TOjZ_Lw"
"48","Stay SAKURA Kyoto 椿","京都市南区八条内田町２６−１","4.5","49.0","34.97963459999999","135.7432732","ChIJA2E7gwUGAWARhh1riss5cuM"
"49","​Residence Jo 霖屋","京都市下京区七条御所ノ内中町１２","","","34.9862477","135.7312332","ChIJQaXOTwAHAWARmzri1MDD9ek"
"50","桜の宿 東寺千本","京都市南区唐橋高田町２０−１０","1.0","1.0","34.9812854","135.7419949","ChIJlb6Mxs8HAWARB7eL48AS-HY"
"51","喜楽・炎林苑","京都市南区唐橋高田町１９","5.0","1.0","34.9813592","135.7420533","ChIJzaRQSQAHAWARRXA1x6frCXI"
"52","Santana Guest House Kyoto サンタナゲストハウス京都","京都市下京区七条御所ノ内中町４５−２","4.2","68.0","34.9864573","135.7315106","ChIJK4FWOEAGAWARrUB3ofj84Lo"
"53","京都梅小路民宿","京都市下京区梅小路石橋町５４−４","4.3","3.0","34.98584890000001","135.7347242","ChIJU9vdr8EHAWARcJ1tSQa7IHQ"
"54","清盛梅花","京都市下京区梅小路東中町83−１","3.0","7.0","34.98524519999999","135.7371557","ChIJL_WqEGUHAWARcIjEhKA5Ifw"
"55","Kyoto cozy house 1946","京都市下京区梅小路石橋町４９−３","4.3","3.0","34.986053","135.7355374","ChIJ_Qhn-0kHAWARqYWtIPvipVY"
"56","京都プラザホテル近鉄十条","京都市南区西九条菅田町１−１","3.9","215.0","34.9734786","135.7472537","ChIJ16fQxrQFAWARBHw1_3acCbw"
"57","琉璃心民宿","京都市南区八条内田町44番地2","","","34.9816748","135.7431457","ChIJG9wySmgHAWARMHJc1647Ddc"
"58","Aya Hotel","44番地1, 44-1 八条内田町, 南区 京都市","5.0","3.0","34.9816555","135.7432114","ChIJBa4OGAAHAWAR6xFNCgeBxQY"
"59","Sunny side","Japan","3.0","1.0","34.9843593","135.7164118","ChIJm3d54VgGAWARsZSvgtD1Djg"
"60","紡 八条源町","京都市南区八条源町１１５","3.5","4.0","34.9820227","135.742854","ChIJ132GdMUHAWARQjaC-7kNeS4"
"61","都ホテル 京都八条","京都市南区西九条院町１７","4.1","7334.0","34.9839515","135.7557221","ChIJOwKjXKkIAWARWqpSj0AJhLE"
"62","京都プラザホテル本館・別館","京都市南区西九条蔵王町２８","3.7","1627.0","34.9812331","135.7534685","ChIJMb1vPqoIAWARDutOVeRJSJs"
"63","九条烏丸ハウス","京都市南区東九条中御霊町５１−２","4.4","146.0","34.979439","135.761616","ChIJA8U8fk0PAWARXkiiA83woWY"
"64","リーガロイヤルホテル 京都","京都市下京区松明町1番地","4.1","5610.0","34.9863853","135.7526951","ChIJ2_bqcpUIAWARCxsfbw83nEY"
"65","ホテルアンテルーム京都","京都市南区東九条明田町７","4.4","1399.0","34.9757424","135.7589803","ChIJkyOPflEPAWARiMMPK__Rac8"
"66","ピースホステル京都","京都市南区東九条東山王町２１−１","4.7","1261.0","34.983611","135.7621203","ChIJvyvihbIIAWARxakS-eHqjRE"
"67","グリーンリッチホテル京都駅南","京都市南区東九条下殿田町３","3.9","835.0","34.9797303","135.7562838","ChIJddyRRKsIAWAR1QJ7sccUuNk"
